Amount,n1000,n500,n100,n50,n20,n10
10,0,0,0,0,0,1
20,0,0,0,0,0,2
30,0,0,0,0,1,1
40,0,0,0,0,1,2
50,0,0,0,0,2,1
60,0,0,0,1,0,1
70,0,0,0,0,3,1
80,0,0,0,1,1,1
90,0,0,0,0,4,1
100,0,0,0,1,2,1
110,0,0,1,0,0,1
120,0,0,0,1,3,1
130,0,0,1,0,1,1
140,0,0,0,1,4,1
150,0,0,1,0,2,1
160,0,0,1,1,0,1
170,0,0,1,0,3,1
180,0,0,1,1,1,1
190,0,0,1,0,4,1
200,0,0,1,1,2,1
210,0,0,2,0,0,1
220,0,0,1,1,3,1
230,0,0,2,0,1,1
240,0,0,1,1,4,1
250,0,0,2,0,2,1
260,0,0,2,1,0,1
270,0,0,2,0,3,1
280,0,0,2,1,1,1
290,0,0,2,0,4,1
300,0,0,2,1,2,1
310,0,0,3,0,0,1
320,0,0,2,1,3,1
330,0,0,3,0,1,1
340,0,0,2,1,4,1
350,0,0,3,0,2,1
360,0,0,3,1,0,1
370,0,0,3,0,3,1
380,0,0,3,1,1,1
390,0,0,3,0,4,1
400,0,0,3,1,2,1
410,0,0,4,0,0,1
420,0,0,3,1,3,1
430,0,0,4,0,1,1
440,0,0,3,1,4,1
450,0,0,4,0,2,1
460,0,0,4,1,0,1
470,0,0,4,0,3,1
480,0,0,4,1,1,1
490,0,0,4,0,4,1
500,0,0,4,1,2,1
510,0,1,0,0,0,1
520,0,0,4,1,3,1
530,0,1,0,0,1,1
540,0,0,4,1,4,1
550,0,1,0,0,2,1
560,0,1,0,1,0,1
570,0,1,0,0,3,1
580,0,1,0,1,1,1
590,0,1,0,0,4,1
600,0,1,0,1,2,1
610,0,1,1,0,0,1
620,0,1,0,1,3,1
630,0,1,1,0,1,1
640,0,1,0,1,4,1
650,0,1,1,0,2,1
660,0,1,1,1,0,1
670,0,1,1,0,3,1
680,0,1,1,1,1,1
690,0,1,1,0,4,1
700,0,1,1,1,2,1
710,0,1,2,0,0,1
720,0,1,1,1,3,1
730,0,1,2,0,1,1
740,0,1,1,1,4,1
750,0,1,2,0,2,1
760,0,1,2,1,0,1
770,0,1,2,0,3,1
780,0,1,2,1,1,1
790,0,1,2,0,4,1
800,0,1,2,1,2,1
810,0,1,3,0,0,1
820,0,1,2,1,3,1
830,0,1,3,0,1,1
840,0,1,2,1,4,1
850,0,1,3,0,2,1
860,0,1,3,1,0,1
870,0,1,3,0,3,1
880,0,1,3,1,1,1
890,0,1,3,0,4,1
900,0,1,3,1,2,1
910,0,1,4,0,0,1
920,0,1,3,1,3,1
930,0,1,4,0,1,1
940,0,1,3,1,4,1
950,0,1,4,0,2,1
960,0,1,4,1,0,1
970,0,1,4,0,3,1
980,0,1,4,1,1,1
990,0,1,4,0,4,1
1000,0,1,4,1,2,1
1010,1,0,0,0,0,1
1020,0,1,4,1,3,1
1030,1,0,0,0,1,1
1040,0,1,4,1,4,1
1050,1,0,0,0,2,1
1060,1,0,0,1,0,1
1070,1,0,0,0,3,1
1080,1,0,0,1,1,1
1090,1,0,0,0,4,1
1100,1,0,0,1,2,1
1110,1,0,1,0,0,1
1120,1,0,0,1,3,1
1130,1,0,1,0,1,1
1140,1,0,0,1,4,1
1150,1,0,1,0,2,1
1160,1,0,1,1,0,1
1170,1,0,1,0,3,1
1180,1,0,1,1,1,1
1190,1,0,1,0,4,1
1200,1,0,1,1,2,1
1210,1,0,2,0,0,1
1220,1,0,1,1,3,1
1230,1,0,2,0,1,1
1240,1,0,1,1,4,1
1250,1,0,2,0,2,1
1260,1,0,2,1,0,1
1270,1,0,2,0,3,1
1280,1,0,2,1,1,1
1290,1,0,2,0,4,1
1300,1,0,2,1,2,1
1310,1,0,3,0,0,1
1320,1,0,2,1,3,1
1330,1,0,3,0,1,1
1340,1,0,2,1,4,1
1350,1,0,3,0,2,1
1360,1,0,3,1,0,1
1370,1,0,3,0,3,1
1380,1,0,3,1,1,1
1390,1,0,3,0,4,1
1400,1,0,3,1,2,1
1410,1,0,4,0,0,1
1420,1,0,3,1,3,1
1430,1,0,4,0,1,1
1440,1,0,3,1,4,1
1450,1,0,4,0,2,1
1460,1,0,4,1,0,1
1470,1,0,4,0,3,1
1480,1,0,4,1,1,1
1490,1,0,4,0,4,1
1500,1,0,4,1,2,1
1510,1,1,0,0,0,1
1520,1,0,4,1,3,1
1530,1,1,0,0,1,1
1540,1,0,4,1,4,1
1550,1,1,0,0,2,1
1560,1,1,0,1,0,1
1570,1,1,0,0,3,1
1580,1,1,0,1,1,1
1590,1,1,0,0,4,1
1600,1,1,0,1,2,1
1610,1,1,1,0,0,1
1620,1,1,0,1,3,1
1630,1,1,1,0,1,1
1640,1,1,0,1,4,1
1650,1,1,1,0,2,1
1660,1,1,1,1,0,1
1670,1,1,1,0,3,1
1680,1,1,1,1,1,1
1690,1,1,1,0,4,1
1700,1,1,1,1,2,1
1710,1,1,2,0,0,1
1720,1,1,1,1,3,1
1730,1,1,2,0,1,1
1740,1,1,1,1,4,1
1750,1,1,2,0,2,1
1760,1,1,2,1,0,1
1770,1,1,2,0,3,1
1780,1,1,2,1,1,1
1790,1,1,2,0,4,1
1800,1,1,2,1,2,1
1810,1,1,3,0,0,1
1820,1,1,2,1,3,1
1830,1,1,3,0,1,1
1840,1,1,2,1,4,1
1850,1,1,3,0,2,1
1860,1,1,3,1,0,1
1870,1,1,3,0,3,1
1880,1,1,3,1,1,1
1890,1,1,3,0,4,1
1900,1,1,3,1,2,1
1910,1,1,4,0,0,1
1920,1,1,3,1,3,1
1930,1,1,4,0,1,1
1940,1,1,3,1,4,1
1950,1,1,4,0,2,1
1960,1,1,4,1,0,1
1970,1,1,4,0,3,1
1980,1,1,4,1,1,1
1990,1,1,4,0,4,1
2000,1,1,4,1,2,1
2010,2,0,0,0,0,1
2020,1,1,4,1,3,1
2030,2,0,0,0,1,1
2040,1,1,4,1,4,1
2050,2,0,0,0,2,1
2060,2,0,0,1,0,1
2070,2,0,0,0,3,1
2080,2,0,0,1,1,1
2090,2,0,0,0,4,1
2100,2,0,0,1,2,1
2110,2,0,1,0,0,1
2120,2,0,0,1,3,1
2130,2,0,1,0,1,1
2140,2,0,0,1,4,1
2150,2,0,1,0,2,1
2160,2,0,1,1,0,1
2170,2,0,1,0,3,1
2180,2,0,1,1,1,1
2190,2,0,1,0,4,1
2200,2,0,1,1,2,1
2210,2,0,2,0,0,1
2220,2,0,1,1,3,1
2230,2,0,2,0,1,1
2240,2,0,1,1,4,1
2250,2,0,2,0,2,1
2260,2,0,2,1,0,1
2270,2,0,2,0,3,1
2280,2,0,2,1,1,1
2290,2,0,2,0,4,1
2300,2,0,2,1,2,1
2310,2,0,3,0,0,1
2320,2,0,2,1,3,1
2330,2,0,3,0,1,1
2340,2,0,2,1,4,1
2350,2,0,3,0,2,1
2360,2,0,3,1,0,1
2370,2,0,3,0,3,1
2380,2,0,3,1,1,1
2390,2,0,3,0,4,1
2400,2,0,3,1,2,1
2410,2,0,4,0,0,1
2420,2,0,3,1,3,1
2430,2,0,4,0,1,1
2440,2,0,3,1,4,1
2450,2,0,4,0,2,1
2460,2,0,4,1,0,1
2470,2,0,4,0,3,1
2480,2,0,4,1,1,1
2490,2,0,4,0,4,1
2500,2,0,4,1,2,1
2510,2,1,0,0,0,1
2520,2,0,4,1,3,1
2530,2,1,0,0,1,1
2540,2,0,4,1,4,1
2550,2,1,0,0,2,1
2560,2,1,0,1,0,1
2570,2,1,0,0,3,1
2580,2,1,0,1,1,1
2590,2,1,0,0,4,1
2600,2,1,0,1,2,1
2610,2,1,1,0,0,1
2620,2,1,0,1,3,1
2630,2,1,1,0,1,1
2640,2,1,0,1,4,1
2650,2,1,1,0,2,1
2660,2,1,1,1,0,1
2670,2,1,1,0,3,1
2680,2,1,1,1,1,1
2690,2,1,1,0,4,1
2700,2,1,1,1,2,1
2710,2,1,2,0,0,1
2720,2,1,1,1,3,1
2730,2,1,2,0,1,1
2740,2,1,1,1,4,1
2750,2,1,2,0,2,1
2760,2,1,2,1,0,1
2770,2,1,2,0,3,1
2780,2,1,2,1,1,1
2790,2,1,2,0,4,1
2800,2,1,2,1,2,1
2810,2,1,3,0,0,1
2820,2,1,2,1,3,1
2830,2,1,3,0,1,1
2840,2,1,2,1,4,1
2850,2,1,3,0,2,1
2860,2,1,3,1,0,1
2870,2,1,3,0,3,1
2880,2,1,3,1,1,1
2890,2,1,3,0,4,1
2900,2,1,3,1,2,1
2910,2,1,4,0,0,1
2920,2,1,3,1,3,1
2930,2,1,4,0,1,1
2940,2,1,3,1,4,1
2950,2,1,4,0,2,1
2960,2,1,4,1,0,1
2970,2,1,4,0,3,1
2980,2,1,4,1,1,1
2990,2,1,4,0,4,1
3000,2,1,4,1,2,1
3010,3,0,0,0,0,1
3020,2,1,4,1,3,1
3030,3,0,0,0,1,1
3040,2,1,4,1,4,1
3050,3,0,0,0,2,1
3060,3,0,0,1,0,1
3070,3,0,0,0,3,1
3080,3,0,0,1,1,1
3090,3,0,0,0,4,1
3100,3,0,0,1,2,1
3110,3,0,1,0,0,1
3120,3,0,0,1,3,1
3130,3,0,1,0,1,1
3140,3,0,0,1,4,1
3150,3,0,1,0,2,1
3160,3,0,1,1,0,1
3170,3,0,1,0,3,1
3180,3,0,1,1,1,1
3190,3,0,1,0,4,1
3200,3,0,1,1,2,1
3210,3,0,2,0,0,1
3220,3,0,1,1,3,1
3230,3,0,2,0,1,1
3240,3,0,1,1,4,1
3250,3,0,2,0,2,1
3260,3,0,2,1,0,1
3270,3,0,2,0,3,1
3280,3,0,2,1,1,1
3290,3,0,2,0,4,1
3300,3,0,2,1,2,1
3310,3,0,3,0,0,1
3320,3,0,2,1,3,1
3330,3,0,3,0,1,1
3340,3,0,2,1,4,1
3350,3,0,3,0,2,1
